Athlete,Year,Gold Medals,Silver Medals,Bronze Medals
Martin Schmitt,2010,0,1,0
Michael Uhrmann,2010,0,1,0
Andreas Wank,2010,0,1,0
Janne Ahonen,2006,0,1,0
Janne Happonen,2006,0,1,0
Tommy Ingebrigtsen,2006,0,0,1
Tami Kiuru,2006,0,1,0
Martin Koch,2006,1,0,0
Bjørn Einar Romøren,2006,0,0,1
Andreas Widhölzl,2006,1,0,0
Janne Ahonen,2002,0,1,0
Damjan Fras,2002,0,0,1
Stephan Hocke,2002,1,0,0
Risto Jussilainen,2002,0,1,0
Robert Kranjec,2002,0,0,1
Veli-Matti Lindström,2002,0,1,0
Primož Peterka,2002,0,0,1
Martin Schmitt,2002,1,0,0
Michael Uhrmann,2002,1,0,0
Peter Žonta,2002,0,0,1
Martins Dukurs,2010,0,1,0
Anja Huber,2010,0,0,1
Jon Montgomery,2010,1,0,0
Kerstin Szymkowiak,2010,0,1,0
Aleksandr Tretyakov,2010,0,0,1
Amy Williams,2010,1,0,0
Duff Gibson,2006,1,0,0
Mellisa Hollingsworth-Richards,2006,0,0,1
Jeff Pain,2006,0,1,0
Maya Pedersen,2006,1,0,0
Shelley Rudman,2006,0,1,0
Gregor Stähli,2006,0,0,1
Alex Coomber,2002,0,0,1
Tristan Gale,2002,1,0,0
Lea Ann Parsley,2002,0,1,0
Martin Rettl,2002,0,1,0
Jim Shea Jr.,2002,1,0,0
Gregor Stähli,2002,0,0,1
Nasser Al-Attiya,2012,0,0,1
Fehaid Al-Deehani,2012,0,0,1
Danka Barteková,2012,0,0,1
Jamie Beyerle-Gray,2012,1,0,0
Sylwia Bogacka,2012,0,1,0
Giovanni Cernogoraz,2012,1,0,0
Chen Ying,2012,0,1,0
Choi Yeong-Rae,2012,0,1,0
Lionel Cox,2012,0,1,0
Håkan Dahlby,2012,0,1,0
Rajmond Debevec,2012,0,0,1
Ding Feng,2012,0,0,1
Matt Emmons,2012,0,0,1
Massimo Fabbrizi,2012,0,1,0
Celine Goberville,2012,0,1,0
Anders Golding,2012,0,1,0
Guo Wenjun,2012,1,0,0
Vincent Hancock,2012,1,0,0
Kim Jang-Mi,2012,1,0,0
Kim Jong-Hyeon,2012,0,1,0
Vijay Kumar,2012,0,1,0
Ivana Maksimovic,2012,0,1,0
Sergey Martynov,2012,1,0,0
Alin Moldoveanu,2012,1,0,0
Vasily Mosin,2012,0,0,1
Gagan Narang,2012,0,0,1
Leuris Pupo,2012,1,0,0
Delphine Racinet-Reau,2012,0,0,1
Kim Rhode,2012,1,0,0
Jessica Rossi,2012,1,0,0
Zuzana Štefeceková,2012,0,1,0
Adéla Sýkorová,2012,0,0,1
Luca Tesconi,2012,0,1,0
Wang Zhiwei,2012,0,0,1
Wei Ning,2012,0,1,0
Peter Wilson,2012,1,0,0
Yi Siling,2012,1,0,0
Yu Dan,2012,0,0,1
Andrija Zlatic,2012,0,0,1
Artur Aivazian,2008,1,0,0
Aleksey Alipov,2008,0,0,1
Abhinav Bindra,2008,1,0,0
Christine Brinker-Wenzel,2008,0,0,1
Tore Brovold,2008,0,1,0
Chiara Cainero,2008,1,0,0
Chen Ying,2008,1,0,0
Corey Cogdell,2008,0,0,1
Eglis Yaima Cruz,2008,0,0,1
Francesco D'Aniello,2008,0,1,0
Rajmond Debevec,2008,0,0,1
Munkhbayar Dorjsuren,2008,0,0,1
Du Li,2008,1,0,0
Glenn Eller,2008,1,0,0
Matt Emmons,2008,0,1,0
Lyubov Galkina,2008,0,1,0
Guo Wenjun,2008,1,0,0
Henri Häkkinen,2008,0,0,1
Vincent Hancock,2008,1,0,0
Hu Binyuan,2008,0,0,1
Vladimir Isakov,2008,0,0,1
David Kostelecký,2008,1,0,0
Satu Mäkelä-Nummela,2008,1,0,0
Otryadyn Gündegmaa,2008,0,1,0
Nataliya Paderina,2008,0,1,0
Pang Wei,2008,1,0,0
Snježana Pejcic,2008,0,0,1
Giovanni Pellielo,2008,0,1,0
Oleksandr Petriv,2008,1,0,0
Warren Potent,2008,0,0,1
Qiu Jian,2008,1,0,0
Christian Reitz,2008,0,0,1
Kim Rhode,2008,0,1,0
Nino Salukvadze,2008,0,0,1
Ralf Schumann,2008,0,1,0
Zuzana Štefeceková,2008,0,1,0
Yuriy Sukhorukov,2008,0,1,0
Tan Zongliang,2008,0,1,0
Anthony Terras,2008,0,0,1
Jason Turner,2008,0,0,1
Zhu Qinan,2008,0,1,0
Ahmed Al-Maktoum,2004,1,0,0
Sergey Alifirenko,2004,0,0,1
Aleksey Alipov,2004,1,0,0
Michael Anti,2004,0,1,0
Irad? Asumova,2004,0,0,1
Suzy Balogh,2004,1,0,0
Andrea Benelli,2004,1,0,0
Aleksandr Blinov,2004,0,1,0
Du Li,2004,1,0,0
Matt Emmons,2004,1,0,0
Gao E,2004,0,0,1
Jozef Gönci,2004,0,0,1
Lenka Hyková-Marušková,2004,0,1,0
Diána Igaly,2004,1,0,0
Vladimir Isakov,2004,0,0,1
Jia Zhanbo,2004,1,0,0
Jin Jong-O,2004,0,1,0
Marko Kemppainen,2004,0,1,0
Kim Jong-Su,2004,0,0,1
Olena Kostevych,2004,1,0,0
Katerina Kurková-Emmons,2004,0,0,1
Manfred Kurzer,2004,1,0,0
Li Jie,2004,0,1,0
Christian Lusch,2004,0,1,0
Dmitry Lykin,2004,0,0,1
Sergey Martynov,2004,0,0,1
Zemfira Meft?kh?tddinova,2004,0,0,1
Giovanni Pellielo,2004,0,1,0
Christian Planer,2004,0,0,1
Sergey Polyakov,2004,0,1,0
María Quintanal,2004,0,1,0
Rajyavardhan Rathore,2004,0,1,0
Kim Rhode,2004,1,0,0
Juan Miguel Rodríguez,2004,0,0,1
Ralf Schumann,2004,1,0,0
Jasna Šekaric,2004,0,1,0
Valentina Turisini,2004,0,1,0
Adam Vella,2004,0,0,1
Wang Chengyi,2004,0,0,1
Wang Yifu,2004,1,0,0
Wang Zheng,2004,0,0,1
Wei Ning,2004,0,1,0
Zhu Qinan,2004,1,0,0
Fehaid Al-Deehani,2000,0,0,1
Yevgeny Aleynikov,2000,0,0,1
Sergey Alifirenko,2000,1,0,0
Michel Ansermet,2000,0,1,0
Cai Yalin,2000,1,0,0
Rajmond Debevec,2000,1,0,0
Michael Diamond,2000,1,0,0
Franck Dumoulin,2000,1,0,0
Svetlana Dyomina,2000,0,1,0
Jonas Edman,2000,1,0,0
Richard Faulds,2000,1,0,0
Mariya Feklistova,2000,0,0,1
Annemarie Forder,2000,0,0,1
Gang Cho-Hyeon,2000,0,1,0
Gao E,2000,0,0,1
Gao Jing,2000,0,0,1
Deborah Gelisio,2000,0,1,0
Tatyana Goldobina,2000,0,1,0
Todd Graves,2000,0,0,1
Torben Grimmel,2000,0,1,0
Mariya Grozdeva,2000,1,0,0
Daina Gudzineviciute,2000,1,0,0
Pia Hansen,2000,1,0,0
Juha Hirvi,2000,0,1,0
Diána Igaly,2000,0,0,1
Artyom Khadzhibekov,2000,0,1,0
Tanyu Kiryakov,2000,1,0,0
Petr Málek,2000,0,1,0
Russell Mark,2000,0,1,0
Sergey Martynov,2000,0,0,1
Renata Mauer-Rózanska,2000,1,0,0
Zemfira Meft?kh?tddinova,2000,1,0,0
Mykola Milchev,2000,1,0,0
Lalita Milshina-Yauhleuskaya,2000,0,0,1
Oleg Moldovan,2000,0,1,0
Nancy Napolski-Johnson,2000,1,0,0
Niu Zhiyuan,2000,0,0,1
Ian Peel,2000,0,1,0
Giovanni Pellielo,2000,0,0,1
Delphine Racinet-Reau,2000,0,1,0
Iulian Raicea,2000,0,0,1
Kim Rhode,2000,0,0,1
Jasna Šekaric,2000,0,1,0
Harald Stenvaag,2000,0,0,1
Martin Tenk,2000,0,0,1
Wang Yifu,2000,0,1,0
Yang Ling,2000,1,0,0
Ben Ainslie,2012,1,0,0
Marina Alabau,2012,1,0,0
Jo Aleh,2012,1,0,0
Mathew Belcher,2012,1,0,0
Lobke Berkhout,2012,0,0,1
Stuart Bithell,2012,0,1,0
Marit Bouwmeester,2012,0,1,0
Peter Burling,2012,0,1,0
Lucas Calabrese,2012,0,0,1
Saskia Clark,2012,0,1,0
Nina Curtis,2012,0,1,0
Juan de la Fuente,2012,0,0,1
Nick Dempsey,2012,0,1,0
Támara Echegoyen,2012,1,0,0
Jonas Høgh Christensen,2012,0,1,0
Iain Jensen,2012,1,0,0
Silja Kanerva,2012,0,0,1
Pavlos Kontides,2012,0,1,0
Peter Lang,2012,0,0,1
Silja Lehtinen,2012,0,0,1
Jonathan Lobert,2012,0,0,1
Fredrik Lööf,2012,1,0,0
Przemyslaw Miarczynski,2012,0,0,1
Hannah Mills,2012,0,1,0
Rasmus Myrgren,2012,0,0,1
Zofia Noceti-Klepacka,2012,0,0,1
Allan Nørregaard,2012,0,0,1
Nathan Outteridge,2012,1,0,0
Malcolm Page,2012,1,0,0
Luke Patience,2012,0,1,0
Iain Percy,2012,0,1,0
Tuuli Petäjä,2012,0,1,0
Olivia Powrie,2012,1,0,0
Bruno Prada,2012,0,0,1
Olivia Price,2012,0,1,0
Angela Pumariega,2012,1,0,0
Max Salminen,2012,1,0,0
Robert Scheidt,2012,0,0,1
Andrew Simpson,2012,0,1,0
Tom Slingsby,2012,1,0,0
Sofia Toro,2012,1,0,0
Blair Tuke,2012,0,1,0
Evi Van Acker,2012,0,0,1
Dorian van Rijsselberge,2012,1,0,0
Lisa Westerhof,2012,0,0,1
Lucinda Whitty,2012,0,1,0
Mikaela Wulff,2012,0,0,1
Xu Lijia,2012,1,0,0
Ben Ainslie,2008,1,0,0
Glenn Ashby,2008,0,1,0
Tom Ashley,2008,1,0,0
Sarah Ayton,2008,1,0,0
Olivier Bausset,2008,0,0,1
Sofia Bekatorou,2008,0,0,1
Lobke Berkhout,2008,0,1,0
Annemieke Bes,2008,0,1,0
Julien Bontemps,2008,0,1,0
Marcelien Bos-de Koning,2008,0,1,0
Darren Bundock,2008,0,1,0
Nicolas Charbonnier,2008,0,0,1
Fernando Echavarri,2008,1,0,0
Anders Ekström,2008,0,0,1
Carlos Espínola,2008,0,0,1
Xavier Fernández,2008,0,1,0
Guillaume Florent,2008,0,0,1
Joe Glanfield,2008,0,1,0
Paul Goodison,2008,1,0,0
Martin Kirketerp,2008,1,0,0
Virginia Kravarioti,2008,0,0,1
Santiago Lange,2008,0,0,1
Fredrik Lööf,2008,0,0,1
Iker Martínez,2008,0,1,0
Mandy Mulder,2008,0,1,0
Fernanda Oliveira,2008,0,0,1
Malcolm Page,2008,1,0,0
Sofia Papadopoulou,2008,0,0,1
Tessa Parkinson,2008,1,0,0
Antón Paz,2008,1,0,0
Hannes Peckolt,2008,0,0,1
Jan Peter Peckolt,2008,0,0,1
Iain Percy,2008,1,0,0
Bruno Prada,2008,0,1,0
Zach Railey,2008,0,1,0
Elise Rechichi,2008,1,0,0
Nick Rogers,2008,0,1,0
Diego Romero,2008,0,0,1
Robert Scheidt,2008,0,1,0
Alessandra Sensini,2008,0,1,0
Bryony Shaw,2008,0,0,1
Andrew Simpson,2008,1,0,0
Isabel Swan,2008,0,0,1
Anna Tunnicliffe,2008,1,0,0
Gintare Volungeviciute-Scheidt,2008,0,1,0
Jonas Warrer,2008,1,0,0
Sarah Webb,2008,1,0,0
Nathan Wilmot,2008,1,0,0
Pippa Wilson,2008,1,0,0
Merel Witteveen,2008,0,1,0
Xu Lijia,2008,0,0,1
Yin Jian,2008,1,0,0
Vasilij Žbogar,2008,0,1,0
Shahar Zubari,2008,0,0,1
Ben Ainslie,2004,1,0,0
Sarah Ayton,2004,1,0,0
Sandra Azón,2004,0,1,0
Sofia Bekatorou,2004,1,0,0
Kevin Burnham,2004,1,0,0
Nick Dempsey,2004,0,0,1
Chris Draper,2004,0,0,1
Carlos Espínola,2004,0,0,1
Xavier Fernández,2004,1,0,0
Marcelo Ferreira,2004,1,0,0
Paul Foerster,2004,1,0,0
Gal Fridman,2004,1,0,0
Andreas Geritzer,2004,0,1,0
Joe Glanfield,2004,0,1,0
Torben Grael,2004,1,0,0
Roman Hagara,2004,1,0,0
Simon Hiscocks,2004,0,0,1
Dorte Jensen,2004,0,0,1
Helle Jespersen,2004,0,0,1
Nikos Kaklamanakis,2004,0,1,0
Hanna Kalinina,2004,0,1,0
Mateusz Kusznierewicz,2004,0,0,1
Santiago Lange,2004,0,0,1
Heorhiy Leonchuk,2004,0,1,0
Signe Livbjerg,2004,0,0,1
John Lovell,2004,0,1,0
Rodion Luka,2004,0,1,0
Ross MacDonald,2004,0,1,0
Iker Martínez,2004,1,0,0
Svitlana Matevusheva,2004,0,1,0
Faustine Merret,2004,1,0,0
Charlie Ogletree,2004,0,1,0
Christina Otzen,2004,0,0,1
Pascal Rambeau,2004,0,0,1
Shirley Robertson,2004,1,0,0
Nick Rogers,2004,0,1,0
Xavier Rohart,2004,0,0,1
Robert Scheidt,2004,1,0,0
Kazuto Seki,2004,0,0,1
Alessandra Sensini,2004,0,0,1
Lenka Šmídová,2004,0,1,0
Hans-Peter Steinacher,2004,1,0,0
Siren Sundby,2004,1,0,0
Ruslana Taran,2004,0,1,0
Kenjiro Todoroki,2004,0,0,1
Therese Torgersson,2004,0,0,1
Rafael Trujillo,2004,0,1,0
Aimilia Tsoulfa,2004,1,0,0
Natalia Vía Dufresne,2004,0,1,0
Sarah Webb,2004,1,0,0
Mike Wolfs,2004,0,1,0
Yin Jian,2004,0,1,0
Vendela Zachrisson-Santén,2004,0,0,1
Vasilij Žbogar,2004,0,0,1
Ben Ainslie,2000,1,0,0
Serena Amato,2000,0,0,1
Jenny Armstrong,2000,1,0,0
Gunnar Bahr,2000,0,1,0
Jesper Bank,2000,1,0,0
Ian Barker,2000,0,1,0
Michael Blackburn,2000,0,0,1
Henrik Blakskjær,2000,1,0,0
Ingo Borkowski,2000,0,1,0
Darren Bundock,2000,0,1,0
Javier Conte,2000,0,0,1
Mark Covell,2000,0,1,0
Paul Davis,2000,0,0,1
Juan de la Fuente,2000,0,0,1
Luca Devoti,2000,0,1,0
Carlos Espínola,2000,0,1,0
Marcelo Ferreira,2000,0,0,1
Paul Foerster,2000,0,1,0
John Forbes,2000,0,1,0
Roland Gäbler,2000,0,0,1
Pease Glaser,2000,0,1,0
Torben Grael,2000,0,0,1
Roman Hagara,2000,1,0,0
Simon Hiscocks,2000,0,1,0
JJ Isler,2000,0,1,0
Thomas Jacobsen,2000,1,0,0
Jyrki Järvi,2000,1,0,0
Herman Horn Johannessen,2000,0,0,1
Thomas Johanson,2000,1,0,0
Barbara Kendall,2000,0,0,1
Tom King,2000,1,0,0
Magnus Liljedahl,2000,1,0,0
Fredrik Lööf,2000,0,0,1
Amelie Lux,2000,0,1,0
Margriet Matthijsse,2000,0,1,0
Aaron McIntosh,2000,0,0,1
Charlie McKee,2000,0,0,1
Jonathan McKee,2000,0,0,1
Bob Merrick,2000,0,1,0
Olena Pakholchyk,2000,0,0,1
Iain Percy,2000,1,0,0
Mark Reynolds,2000,1,0,0
Shirley Robertson,2000,1,0,0
Robert Scheidt,2000,0,1,0
Jochen Schümann,2000,0,1,0
René Schwall,2000,0,0,1
Alessandra Sensini,2000,1,0,0
Christoph Sieber,2000,1,0,0
Hans-Peter Steinacher,2000,1,0,0
Espen Stokkeland,2000,0,0,1
Belinda Stowell,2000,1,0,0
Ruslana Taran,2000,0,0,1
Mark Turnbull,2000,1,0,0
Ian Walker,2000,0,1,0
Chantal Achterberg,2012,0,0,1
Filip Adamski,2012,1,0,0
Carina Bär,2012,0,1,0
Jacob Barsøe,2012,0,0,1
Chris Bartley,2012,0,1,0
Romano Battisti,2012,0,1,0
Anna Bebington-Watkins,2012,1,0,0
Claudia Belderbos,2012,0,0,1
Gabe Bergen,2012,0,1,0
Hamish Bond,2012,1,0,0
Carline Bouw,2012,0,0,1
Matthew Brittain,2012,1,0,0
Jeremiah Brown,2012,0,1,0
Ashley Brzozowicz,2012,0,1,0
Andrew Byrnes,2012,0,1,0
Erin Cafaro,2012,1,0,0
Alan Campbell,2012,0,0,1
Peter Chambers,2012,0,1,0
Richard Chambers,2012,0,1,0
James Chapman,2012,0,1,0
Germain Chardin,2012,0,1,0
Nathan Cohen,2012,1,0,0
Charlie Cole,2012,0,0,1
Iztok Cop,2012,0,0,1
Kat Copeland,2012,1,0,0
Will Crothers,2012,0,1,0
Douglas Csima,2012,0,1,0
Caryn Davies,2012,1,0,0
Sytske de Groot,2012,0,0,1
Annemiek de Haan,2012,0,0,1
Rachelle De Jong-Viinberg,2012,0,1,0
Natalie Dell,2012,0,0,1
Yana Dementieva,2012,1,0,0
Nataliya Dovhodko,2012,1,0,0
Mahé Drysdale,2012,1,0,0
Joshua Dunkley-Smith,2012,0,1,0
Eskild Ebbesen,2012,0,0,1
Ric Egington,2012,0,0,1
Fie Udby Erichsen,2012,0,1,0
James Foad,2012,0,0,1
Karsten Forsterling,2012,0,0,1
Susan Francia,2012,1,0,0
Magdalena Fularczyk,2012,0,0,1
Scott Gault,2012,0,0,1
Khristina Giazitzidou,2012,0,0,1
Rob Gibson,2012,0,1,0
Drew Ginn,2012,0,1,0
Helen Glover,2012,1,0,0
Katherine Grainger,2012,1,0,0
Alex Gregory,2012,1,0,0
Tim Grohmann,2012,1,0,0
Krista Guloien,2012,0,1,0
Juliette Haigh,2012,0,0,1
Janine Hanson,2012,0,1,0
Phelan Hill,2012,0,0,1
Kate Hornsey,2012,0,1,0
Sophie Hosking,2012,1,0,0
Malcolm Howard,2012,0,1,0
Huang Wenyi,2012,0,1,0
Mark Hunter,2012,0,1,0
Tom James,2012,1,0,0
Eric Johannesen,2012,1,0,0
Morten Jørgensen,2012,0,0,1
Megan Kalmoe,2012,0,0,1
Nienke Kingma,2012,0,0,1
Mirka Knapková,2012,1,0,0
Kara Kohler,2012,0,0,1
Anastasiya Kozhenkova,2012,1,0,0
Andreas Kuffner,2012,1,0,0
Matt Langridge,2012,0,0,1
Caroline Lind,2012,1,0,0
William Lockwood,2012,0,1,0
Esther Lofgren,2012,1,0,0
Elle Logan,2012,1,0,0
Constantine Louloudis,2012,0,0,1
Darcy Marquardt,2012,0,1,0
Adrienne Martelli,2012,0,0,1
Damir Martin,2012,0,1,0
Natalie Mastracci,2012,0,1,0
Conlin McCabe,2012,0,1,0
James McRae,2012,0,0,1
Florian Mennigen,2012,1,0,0
Julia Michalska,2012,0,0,1
Chris Morgan,2012,0,0,1
Andréanne Morin,2012,0,1,0
Dorian Mortelette,2012,0,1,0
Lukas Müller,2012,1,0,0
Eric Murray,2012,1,0,0
Meghan Musnicki,2012,1,0,0
George Nash,2012,0,0,1
Sizwe Ndlovu,2012,1,0,0
Daniel Noonan,2012,0,0,1
Glenn Ochal,2012,0,0,1
Britta Oppelt,2012,0,1,0
Sarah Outhwaite-Tait,2012,0,1,0
Alex Partridge,2012,0,0,1
Brooke Pratley,2012,0,1,0
Brian Price,2012,0,1,0
Zac Purchase,2012,0,1,0
Rasmus Quist,2012,1,0,0
Tom Ransley,2012,0,0,1
Mads Rasmussen,2012,1,0,0
Pete Reed,2012,1,0,0
Maximilian Reinelt,2012,1,0,0
Roline Repelaer van Driel,2012,0,0,1
Julia Richter,2012,0,1,0
Taylor Ritzel,2012,1,0,0
Henrik Rummel,2012,0,0,1
David Šain,2012,0,1,0
Alessio Sartori,2012,0,1,0
Will Satch,2012,0,0,1
Martin Sauer,2012,1,0,0
Moe Sbihi,2012,0,0,1
Anne Schellekens,2012,0,0,1
Richard Schmidt,2012,1,0,0
Lauritz Schoof,2012,1,0,0
Karl Schulze,2012,1,0,0
Rebecca Scown,2012,0,0,1
Greg Searle,2012,0,0,1
Martin Sinkovic,2012,0,1,0
Valent Sinkovic,2012,0,1,0
John Smith,2012,1,0,0
Luka Špik,2012,0,0,1
Heather Stanning,2012,1,0,0
Joseph Sullivan,2012,1,0,0
Ondrej Synek,2012,0,1,0
Kateryna Tarasenko,2012,1,0,0
Peter Taylor,2012,0,0,1
Annekatrin Thiele,2012,0,1,0
James Thompson,2012,1,0,0
Lesley Thompson-Willie,2012,0,1,0
Andrew Triggs Hodge,2012,1,0,0
Alexandra Tsiavou,2012,0,0,1
Storm Uru,2012,0,0,1
Jacobine Veenhoven,2012,0,0,1
Phillipp Wende,2012,1,0,0
Mary Whipple,2012,1,0,0
Kristof Wilke,2012,1,0,0
Lauren Wilkinson,2012,0,1,0
Rob Williams,2012,0,1,0
Kasper Winther Jørgensen,2012,0,0,1
Xu Dongxiang,2012,0,1,0
Luca Agamennoni,2008,0,1,0
Wyatt Allen,2008,0,0,1
Mads Andersen,2008,1,0,0
Julien Bahain,2008,0,0,1
Eniko Barabas-Mironcic,2008,0,0,1
Jon Beare,2008,0,0,1
Anna Bebington-Watkins,2008,0,0,1
Milosz Bernatajtys,2008,0,1,0
Cédric Berrest,2008,0,0,1
Yuliya Bichik,2008,0,0,1
Kathrin Boron,2008,0,0,1
Micah Boyd,2008,0,0,1
Iain Brambell,2008,0,0,1
Scott Brennan,2008,1,0,0
George Bridgewater,2008,0,0,1
Andrew Byrnes,2008,1,0,0
Erin Cafaro,2008,1,0,0
Dave Calder,2008,0,1,0
Tracy Cameron,2008,0,0,1
Germain Chardin,2008,0,0,1
Jonathan Coeffic,2008,0,0,1
Steven Coppola,2008,0,0,1
David Crawshay,2008,1,0,0
Caryn Davies,2008,1,0,0
Annemiek de Haan,2008,0,1,0
Femke Dekker,2008,0,1,0
Julien Després,2008,0,0,1
Mahé Drysdale,2008,0,0,1
Rumyana Dzhadzharova-Neykova,2008,1,0,0
Eskild Ebbesen,2008,1,0,0
Thomas Ebert,2008,1,0,0
Ric Egington,2008,0,1,0
Tõnu Endrekson,2008,0,1,0
Caroline Evers-Swindell,2008,1,0,0
Georgina Evers-Swindell,2008,1,0,0
Debbie Flood,2008,0,1,0
Rodica Florea-Serban,2008,0,0,1
Susan Francia,2008,1,0,0
Scott Frandsen,2008,0,1,0
Duncan Free,2008,1,0,0
Rossano Galtarossa,2008,0,1,0
Gao Yulan,2008,0,1,0
Nataliya Gelakh,2008,0,0,1
Elena Georgescu,2008,0,0,1
Drew Ginn,2008,1,0,0
Anna Goodale,2008,1,0,0
Katherine Grainger,2008,0,1,0
Michelle Guerette,2008,0,1,0
Kyle Hamilton,2008,1,0,0
Alastair Heathcote,2008,0,1,0
Francis Hegerty,2008,0,1,0
Beau Hoopman,2008,0,0,1
Frances Houghton,2008,0,1,0
Malcolm Howard,2008,1,0,0
Mark Hunter,2008,1,0,0
Christiane Huth,2008,0,1,0
Doina Ignat,2008,0,0,1
Josh Inman,2008,0,0,1
Jüri Jaanson,2008,0,1,0
Tom James,2008,1,0,0
Michal Jelinski,2008,1,0,0
Jin Ziwei,2008,1,0,0
Morten Jørgensen,2008,1,0,0
Yekaterina Khodatovich-Karsten,2008,0,0,1
Nienke Kingma,2008,0,1,0
Melanie Kok,2008,0,0,1
Marek Kolbowicz,2008,1,0,0
Adam Korol,2008,1,0,0
Adam Kreek,2008,1,0,0
Matt Langridge,2008,0,1,0
Elise Laverick,2008,0,0,1
Mike Lewis,2008,0,0,1
Kevin Light,2008,1,0,0
Caroline Lind,2008,1,0,0
Elle Logan,2008,1,0,0
Tom Lucy,2008,0,1,0
Manuela Lutze,2008,0,0,1
James Marburg,2008,0,1,0
Marcus McElhenney,2008,0,0,1
Maxi McKenzie-McHarg,2008,0,1,0
Anna Mickelson-Cummins,2008,1,0,0
Dorian Mortelette,2008,0,0,1
Dimitris Mougios,2008,0,1,0
Acer Nethercott,2008,0,1,0
Minna Nieminen,2008,0,1,0
Britta Oppelt,2008,0,0,1
Ioana Papuc-Rotaru,2008,0,0,1
Liam Parsons,2008,0,0,1
Alex Partridge,2008,0,1,0
Bartlomiej Pawelczak,2008,0,1,0
Lukasz Pawlowski,2008,0,1,0
Pierre-Jean Peltier,2008,0,0,1
Constanta Pipota-Burcica,2008,0,0,1
Vasilios Polymeros,2008,0,1,0
Brian Price,2008,1,0,0
Zac Purchase,2008,1,0,0
Rasmus Quist,2008,0,0,1
Simone Raineri,2008,0,1,0
Pawel Randa,2008,0,1,0
Mads Rasmussen,2008,0,0,1
Pete Reed,2008,1,0,0
Roline Repelaer van Driel,2008,0,1,0
Benjamin Rondeau,2008,0,0,1
Stephen Rowbotham,2008,0,0,1
Ben Rutledge,2008,1,0,0
Matt Ryan,2008,0,1,0
Stephanie Schiller,2008,0,0,1
Matt Schnobrich,2008,0,0,1
Lindsay Schoop,2008,1,0,0
Dominic Seiterle,2008,1,0,0
Sarah Siegelaar,2008,0,1,0
Colin Smith,2008,0,1,0
Marlies Smulders,2008,0,1,0
Tom Stallard,2008,0,1,0
Sanna Stén,2008,0,1,0
Simona Strimbeschi-Musat,2008,0,0,1
Ondrej Synek,2008,0,1,0
Tang Bin,2008,1,0,0
Helen Tanger,2008,0,1,0
Annekatrin Thiele,2008,0,1,0
Andrew Triggs Hodge,2008,1,0,0
Olaf Tufte,2008,1,0,0
Nathan Twaddle,2008,0,0,1
Kirsten van der Kolk,2008,1,0,0
Marit van Eupen,2008,1,0,0
Annemarieke van Rumpt,2008,0,1,0
Simone Venier,2008,0,1,0
Annie Vernon,2008,0,1,0
Bryan Volpenhein,2008,0,0,1
Daniel Walsh,2008,0,0,1
Konrad Wasielewski,2008,1,0,0
Matt Wells,2008,0,0,1
Josh West,2008,0,1,0
Jake Wetzel,2008,1,0,0
Mary Whipple,2008,1,0,0
Steve Williams,2008,1,0,0
Ester Workel,2008,0,1,0
Wu You,2008,0,1,0
Xi Aihua,2008,1,0,0
Zhang Yangyang,2008,1,0,0
Luca Agamennoni,2004,0,0,1
Chris Ahrens,2004,1,0,0
Wyatt Allen,2004,1,0,0
Catello Amarante,2004,0,0,1
Salvatore Amitrano,2004,0,0,1
Cam Baerg,2004,0,1,0
Michiel Bartman,2004,0,1,0
Dan Beery,2004,1,0,0
Lorenzo Bertini,2004,0,0,1
Yuliya Bichik,2004,0,0,1
Serhiy Biloushchenko,2004,0,0,1
Cath Bishop,2004,0,1,0
Claudia Blasberg,2004,0,1,0
Kathrin Boron,2004,1,0,0
Amber Bradley,2004,0,0,1
Simon Burgess,2004,0,1,0
Donnie Cech,2004,0,0,1
Chun Wei Cheung,2004,0,1,0
Aurica Chirita-Barascu,2004,1,0,0
Pete Cipollone,2004,1,0,0
Ed Coode,2004,1,0,0
Iztok Cop,2004,0,1,0
Alison Cox,2004,0,1,0
James Cracknell,2004,1,0,0
Ben Cureton,2004,0,1,0
Caryn Davies,2004,0,1,0
Annemiek de Haan,2004,0,0,1
Matt Deakin,2004,1,0,0
Hurnet Dekkers,2004,0,0,1
Dario Dentale,2004,0,0,1
Geert-Jan Derksen,2004,0,1,0
Ramon di Clemente,2004,0,0,1
Megan Dirkmaat,2004,0,1,0
Frédéric Dufour,2004,0,1,0
Rumyana Dzhadzharova-Neykova,2004,0,0,1
Eskild Ebbesen,2004,1,0,0
Thomas Ebert,2004,1,0,0
Anthony Edwards,2004,0,1,0
Gerritjan Eggenkamp,2004,0,1,0
Meike Evers,2004,1,0,0
Caroline Evers-Swindell,2004,1,0,0
Georgina Evers-Swindell,2004,1,0,0
Dana Faletic,2004,0,0,1
Sergey Fedorovtsev,2004,1,0,0
Debbie Flood,2004,0,1,0
Rodica Florea-Serban,2004,1,0,0
Jan-Willem Gabriëls,2004,0,1,0
Liliana Gafencu,2004,1,0,0
Rossano Galtarossa,2004,0,0,1
Nataliya Gelakh,2004,0,0,1
Elena Georgescu,2004,1,0,0
Drew Ginn,2004,1,0,0
Katherine Grainger,2004,0,1,0
Jakub Hanák,2004,0,1,0
Joey Hansen,2004,1,0,0
Bo Hanson,2004,0,0,1
Adrien Hardy,2004,1,0,0
Tom Herschmiller,2004,0,1,0
Nienke Hommes,2004,0,0,1
